path,first_commit_post_baseline,last_commit_in_range,language_type,reverted_only
src/main/java/org/cswteams/ms3/security/BlacklistService.java,0e5c70b5,0e5c70b5,java,no
src/main/java/org/cswteams/ms3/security/LoginAttemptService.java,d6a330b2,0e5c70b5,java,yes
src/main/java/org/cswteams/ms3/security/SecurityConfigurer.java,28660e09,28660e09,java,no
src/main/java/org/cswteams/ms3/security/TwoFactorAuthenticationService.java,93aed615,f4adffed,java,no
src/main/java/org/cswteams/ms3/security/TwoFactorCodeService.java,93aed615,5dcf9a04,java,no
src/main/java/org/cswteams/ms3/security/TwoFactorConfiguration.java,93aed615,163d8f70,java,yes
src/main/java/org/cswteams/ms3/security/TwoFactorProperties.java,93aed615,f4adffed,java,no
src/main/java/org/cswteams/ms3/security/TwoFactorResult.java,93aed615,93aed615,java,no
src/main/java/org/cswteams/ms3/security/TwoFactorVerificationOutcome.java,f4adffed,f4adffed,java,no
src/main/java/org/cswteams/ms3/utils/JwtUtil.java,74762acf,74762acf,java,no
src/main/java/org/cswteams/ms3/utils/TurnstileService.java,d6a330b2,98f4d524,java,no
src/main/resources/application-container.properties,d2313677,50de68af,config,no
src/main/resources/application.properties,d6a330b2,498baf6c,config,no
src/main/resources/db/assign_privileges.sql,0d13c36c,cbdc8ab2,sql,no
src/main/resources/db/create_blacklisted_tokens.sql,10cf56a8,be33607c,sql,no
src/main/resources/db/create_system_user_tables.sql,d8beeaa7,d8beeaa7,sql,no
src/main/resources/db/migration/V1__add_2fa_state_columns.sql,d8beeaa7,fe83f955,sql,no
src/main/resources/db/tenant/sequences/create_sequence.sql,10ce6fb4,10ce6fb4,sql,no
src/main/resources/db/tenant/tables/create_blacklisted_tokens_tables.sql,a0c97e32,d17a0bd9,sql,yes
src/main/resources/db/tenant/tables/create_feedback_tables.sql,5d941781,5d941781,sql,no
src/main/resources/db/tenant/tables/create_tenant_user_tables.sql,fe83f955,fe83f955,sql,no
src/main/resources/doctors_seed_fac_simile.json,022c0504,f0d3d352,config,no
src/test/java/org/cswteams/ms3/AbstractMultiTenantIntegrationTest.java,65f3a76b,17accc70,test,no
src/test/java/org/cswteams/ms3/control/cambiaPassword/ControllerPasswordTest.java,17accc70,17accc70,test,no
src/test/java/org/cswteams/ms3/control/controllerscheduler/ScheduleTests.java,65f3a76b,65f3a76b,test,no
src/test/java/org/cswteams/ms3/control/logout/TestJwtBlacklistService.java,8d600d03,17accc70,test,no
src/test/java/org/cswteams/ms3/control/logout/TestLogoutController.java,8d600d03,17accc70,test,no
src/test/java/org/cswteams/ms3/control/logout/TestLogoutIT.java,6bf8f988,17accc70,test,no
src/test/java/org/cswteams/ms3/control/passwordChange/PasswordChangeIT.java,17accc70,17accc70,test,no
src/test/java/org/cswteams/ms3/control/passwordChange/PasswordChangeTest.java,17accc70,17accc70,test,no
src/test/java/org/cswteams/ms3/control/scheduleFeedback/ScheduleFeedbackControllerTest.java,afff107b,afff107b,test,no
src/test/java/org/cswteams/ms3/control/scheduler/ScheduleBuilderConstraintSeverityTest.java,86f3cc07,a11c8af5,test,yes
src/test/java/org/cswteams/ms3/control/scheduler/constraint_tests/ControllerSchedulerTest.java,65f3a76b,65f3a76b,test,no
src/test/java/org/cswteams/ms3/control/scocciatura/ControllerScocciaturaTest.java,65f3a76b,65f3a76b,test,no
src/test/java/org/cswteams/ms3/filters/JwtRequestFiltersTest.java,e753aac2,e753aac2,test,no
src/test/java/org/cswteams/ms3/rest/LoginRestEndpointTwoFactorTest.java,f4adffed,d3fc7df5,test,yes
src/test/java/org/cswteams/ms3/rest/LogoutRestEndpointIT.java,4cf88ff9,4cf88ff9,test,no
src/test/java/org/cswteams/ms3/rest/LogoutRestEndpointTest.java,8c9a299e,17accc70,test,no
src/test/java/org/cswteams/ms3/rest/ScheduleFeedbackRestEndpointTest.java,afff107b,afff107b,test,no
src/test/java/org/cswteams/ms3/rest/TwoFactorRestEndpointTest.java,d13a21f3,d3fc7df5,test,yes
src/test/java/org/cswteams/ms3/security/TwoFactorAuthenticationServiceTest.java,93aed615,d3fc7df5,test,yes
src/test/java/org/cswteams/ms3/service/tokenRemoval/ExpiredTokensRemovalServiceIT.java,17accc70,17accc70,test,no
src/test/java/org/cswteams/ms3/service/tokenRemoval/ExpiredTokensRemovalServiceTest.java,17accc70,17accc70,test,no
src/test/resources/application-test.properties,d2313677,50de68af,test,no
