path,in_scope,reverted_only,notes
src/main/java/org/cswteams/ms3/control/scheduler/ISchedulerController.java,no,yes,reverted_only_no_net_change
src/main/java/org/cswteams/ms3/control/scheduler/ScheduleBuilder.java,yes,no,code_change_in_scope
src/main/java/org/cswteams/ms3/control/scheduler/SchedulerController.java,yes,no,code_change_in_scope
src/main/java/org/cswteams/ms3/control/toon/ToonFeedback.java,yes,no,code_change_in_scope
src/main/java/org/cswteams/ms3/control/toon/ToonRequestContext.java,yes,no,code_change_in_scope
src/main/java/org/cswteams/ms3/control/toon/ToonValidator.java,yes,no,code_change_in_scope
src/main/java/org/cswteams/ms3/control/utils/RispostaViolazioneVincoli.java,no,yes,reverted_only_no_net_change
src/main/java/org/cswteams/ms3/dao/ConcreteShiftDAO.java,yes,no,code_change_in_scope
src/main/java/org/cswteams/ms3/dao/DoctorDAO.java,yes,no,code_change_in_scope
src/main/java/org/cswteams/ms3/dao/ScheduleFeedbackDAO.java,yes,no,code_change_in_scope
src/main/java/org/cswteams/ms3/dao/SystemUserDAO.java,yes,no,code_change_in_scope
src/main/java/org/cswteams/ms3/dto/scheduleFeedback/ScheduleFeedbackDTO.java,yes,no,code_change_in_scope
src/main/java/org/cswteams/ms3/entity/DoctorUffaPriority.java,yes,no,code_change_in_scope
src/main/java/org/cswteams/ms3/entity/Schedule.java,yes,no,code_change_in_scope
src/main/java/org/cswteams/ms3/entity/ScheduleFeedback.java,yes,no,code_change_in_scope
src/main/java/org/cswteams/ms3/entity/constraint/ConstraintAssegnazioneTurnoTurno.java,yes,no,code_change_in_scope
src/main/java/org/cswteams/ms3/entity/constraint/ConstraintMaxOrePeriodo.java,yes,no,code_change_in_scope
src/main/java/org/cswteams/ms3/entity/enums/FeedbackCategory.java,yes,no,code_change_in_scope
src/main/java/org/cswteams/ms3/filters/JwtRequestFilters.java,yes,no,code_change_in_scope
src/main/java/org/cswteams/ms3/rest/ConcreteShiftRestEndpoint.java,no,yes,reverted_only_no_net_change
src/main/java/org/cswteams/ms3/rest/LogoutRestEndpoint.java,yes,no,code_change_in_scope
src/main/java/org/cswteams/ms3/rest/ScheduleFeedbackRestEndpoint.java,yes,no,code_change_in_scope
src/main/java/org/cswteams/ms3/rest/ScheduleRestEndpoint.java,no,yes,reverted_only_no_net_change
src/main/java/org/cswteams/ms3/rest/TwoFactorRestEndpoint.java,yes,no,code_change_in_scope
src/main/java/org/cswteams/ms3/security/BlacklistService.java,yes,no,code_change_in_scope
